Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
FileRecordWriterContainer.java,4,3,1,1
HiveMetaStoreClient.java,2,2,1,1
MapredParquetOutputFormat.java,10,1,1,1
ParquetRecordWriterWrapper.java,24,0,1,1
ParquetTableUtils.java,22,0,1,1
SpecialCases.java,27,0,1,1
TestHCatLoaderComplexSchema.java,0,3,1,1
TestHCatLoaderEncryption.java,1,8,1,1
TestHCatStorerMulti.java,1,9,1,1
TestMapredParquetOutputFormat.java,0,10,1,1
TestParquetHCatLoader.java,0,49,1,1
TestParquetHCatStorer.java,0,167,1,1
TestParseDriver.java,92,2,1,1
