Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
ACIDBenchmarks.java,6.0,0.0,6.0,0.0,1.0,1.0,4.0,4.0,0.0,10.0,2.0,1.0,23.0,0.0,23.0,18.0,16.0,20.0,0.0,1.0,4.0,0.0,15.0,0.0,265.0,41.0,207.0,98.0,82.0,17.0,0.0,94.0,133.0,75.0,66.0,0.0,5.0,1.0,2.0,0.0,0.0,"0,08",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,1.0,13.0,13.0,0.0,1.0,0.0,3.0,10.0,0.0,10.0,10.0,2.0,10.0,10.0,0.0,3.0,0.0,7.0,33.0,167.0,22.0,125.0,38.0,70.0,20.0,32.0,57.0,89.0,37.0,58.0,28.0,11.0,1.0,3.0,45.0,35.0,"0,16",29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AMReporter.java,12.0,0.0,10.0,1.0,2.0,4.0,58.0,58.0,1.0,10.0,0.0,1.0,41.0,0.0,41.0,41.0,34.0,41.0,14.0,13.0,2.0,4.0,22.0,81.0,618.0,71.0,487.0,185.0,256.0,60.0,67.0,239.0,328.0,168.0,196.0,26.0,7.0,2.0,4.0,18.5,18.5,"0,12",77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ANTLRNoCaseStringStream.java,8.0,1.0,7.0,0.0,2.0,2.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,55.0,6.0,18.0,8.0,7.0,31.0,0.0,8.0,13.0,7.0,7.0,0.0,3.0,2.0,1.0,0.0,0.0,"1,72",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTBuilder.java,19.0,1.0,17.0,1.0,5.0,1.0,32.0,32.0,0.0,1.0,14.0,1.0,20.0,0.0,20.0,4.0,1.0,18.0,18.0,0.0,0.0,0.0,18.0,242.0,443.0,40.0,365.0,78.0,283.0,38.0,122.0,161.0,199.0,71.0,148.0,109.0,72.0,1.0,2.0,72.0,11.0,"0,10",109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTConverter.java,19.0,1.0,15.0,3.0,4.0,1.0,61.0,61.0,0.0,8.0,7.0,4.0,55.0,0.0,55.0,48.0,26.0,55.0,21.0,15.0,18.0,3.0,19.0,151.0,1284.0,146.0,963.0,336.0,605.0,175.0,217.0,506.0,724.0,342.0,487.0,92.0,24.0,1.0,4.0,90.0,81.0,"0,18",203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,6.0,6.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,5.0,1.0,5.0,35.0,0.0,0.0,0.0,5.0,4.0,49.0,8.0,21.0,18.0,6.0,20.0,8.0,12.0,18.0,13.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,"0,95",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTErrorUtils.java,7.0,0.0,7.0,0.0,1.0,1.0,5.0,5.0,0.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,3.0,0.0,7.0,78.0,106.0,15.0,72.0,17.0,44.0,19.0,41.0,42.0,57.0,17.0,44.0,14.0,2.0,1.0,1.0,0.0,0.0,"0,26",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTNode.java,10.0,1.0,8.0,1.0,2.0,3.0,19.0,19.0,1.0,1.0,1.0,2.0,30.0,0.0,30.0,29.0,8.0,30.0,30.0,0.0,9.0,1.0,20.0,324.0,382.0,55.0,267.0,88.0,143.0,61.0,99.0,135.0,195.0,77.0,136.0,60.0,11.0,2.0,4.0,90.0,78.0,"0,23",63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,11.0,97.0,10.0,32.0,15.0,10.0,55.0,5.0,17.0,24.0,14.0,10.0,5.0,1.0,1.0,0.0,67.0,67.0,"1,72",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AWSSecretsManagerSecretSource.java,12.0,0.0,9.0,3.0,2.0,2.0,11.0,11.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,0.0,3.0,16.0,109.0,9.0,59.0,24.0,26.0,42.0,16.0,27.0,40.0,20.0,23.0,11.0,5.0,1.0,2.0,50.0,50.0,"0,71",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AWSSecretsManagerSecretSourceTest.java,5.0,0.0,5.0,1.0,1.0,1.0,8.0,8.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,7.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,17.0,74.0,11.0,45.0,25.0,13.0,23.0,23.0,22.0,30.0,18.0,13.0,7.0,1.0,1.0,0.0,14.0,14.0,"0,51",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactResponse.java,8.0,0.0,7.0,0.0,2.0,5.0,35.0,35.0,0.0,6.0,4.0,6.0,41.0,0.0,39.0,37.0,4.0,41.0,27.0,1.0,3.0,0.0,37.0,66.0,431.0,68.0,338.0,95.0,175.0,28.0,56.0,140.0,224.0,83.0,157.0,56.0,6.0,1.0,4.0,48.0,26.0,"0,08",77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactionFunction.java,12.0,0.0,12.0,0.0,2.0,2.0,20.0,20.0,0.0,2.0,0.0,2.0,9.0,0.0,9.0,7.0,4.0,7.0,4.0,0.0,2.0,0.0,5.0,22.0,188.0,24.0,147.0,57.0,85.0,17.0,34.0,71.0,89.0,52.0,47.0,9.0,4.0,1.0,3.0,50.0,50.0,"0,12",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactionRequest.java,10.0,0.0,9.0,0.0,3.0,5.0,34.0,34.0,0.0,6.0,4.0,9.0,52.0,0.0,50.0,48.0,8.0,52.0,38.0,1.0,3.0,0.0,48.0,116.0,632.0,83.0,522.0,116.0,303.0,36.0,86.0,216.0,347.0,98.0,270.0,102.0,12.0,1.0,4.0,68.0,52.0,"0,07",138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactionResponseElement.java,9.0,0.0,9.0,1.0,2.0,5.0,30.0,30.0,0.0,6.0,4.0,10.0,49.0,0.0,47.0,45.0,9.0,49.0,35.0,1.0,3.0,0.0,45.0,126.0,577.0,80.0,469.0,108.0,281.0,37.0,84.0,200.0,316.0,88.0,244.0,92.0,12.0,1.0,3.0,74.0,56.0,"0,08",122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactionsAnalyzer.java,7.0,0.0,7.0,0.0,2.0,1.0,14.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,113.0,0.0,0.0,0.0,2.0,3.0,51.0,5.0,29.0,20.0,7.0,17.0,12.0,19.0,24.0,19.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,"0,59",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactionsDesc.java,4.0,0.0,4.0,0.0,1.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,6.0,49.0,6.0,23.0,15.0,5.0,20.0,2.0,13.0,17.0,13.0,4.0,2.0,1.0,1.0,0.0,33.0,33.0,"0,87",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortCompactionsOperation.java,10.0,1.0,9.0,0.0,2.0,1.0,14.0,14.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,6.0,0.0,2.0,0.0,2.0,14.0,80.0,9.0,51.0,20.0,25.0,20.0,21.0,33.0,42.0,20.0,24.0,6.0,4.0,2.0,3.0,0.0,0.0,"0,39",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTransactionsAnalyzer.java,6.0,0.0,6.0,0.0,2.0,1.0,13.0,13.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,113.0,0.0,0.0,0.0,2.0,2.0,53.0,5.0,28.0,20.0,6.0,20.0,9.0,18.0,23.0,19.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,"0,71",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTransactionsDesc.java,4.0,0.0,4.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,44.0,6.0,18.0,13.0,3.0,20.0,1.0,10.0,13.0,11.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,"1,11",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTransactionsOperation.java,4.0,0.0,4.0,0.0,1.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,39.0,4.0,15.0,9.0,3.0,20.0,5.0,8.0,11.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,33",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnEvent.java,7.0,0.0,4.0,3.0,1.0,1.0,8.0,8.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,6.0,3.0,6.0,17.0,0.0,0.0,0.0,6.0,8.0,86.0,11.0,38.0,19.0,11.0,37.0,3.0,21.0,28.0,17.0,11.0,3.0,2.0,2.0,1.0,67.0,33.0,"0,97",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnFunction.java,29.0,3.0,25.0,2.0,6.0,2.0,20.0,20.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,10.0,105.0,12.0,73.0,34.0,38.0,20.0,26.0,48.0,60.0,33.0,34.0,10.0,10.0,1.0,3.0,0.0,0.0,"0,27",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnHandler.java,8.0,1.0,7.0,0.0,2.0,1.0,15.0,15.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,17.0,70.0,9.0,44.0,24.0,15.0,17.0,34.0,25.0,33.0,21.0,14.0,9.0,4.0,2.0,2.0,0.0,0.0,"0,39",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnHandler.java,25.0,3.0,20.0,2.0,3.0,1.0,15.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,17.0,61.0,5.0,33.0,18.0,14.0,23.0,34.0,18.0,22.0,15.0,9.0,9.0,3.0,2.0,1.0,0.0,0.0,"0,70",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnInfoHandler.java,11.0,0.0,11.0,1.0,2.0,2.0,17.0,17.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,18.0,131.0,10.0,96.0,38.0,59.0,25.0,24.0,44.0,51.0,34.0,23.0,7.0,4.0,1.0,2.0,33.0,33.0,"0,26",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnMessage.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,10.0,0.0,0.0,1.0,2.0,7.0,39.0,6.0,9.0,6.0,1.0,24.0,2.0,5.0,7.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,"2,67",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnRequest.java,10.0,0.0,9.0,1.0,3.0,5.0,32.0,32.0,0.0,6.0,4.0,12.0,54.0,0.0,52.0,50.0,11.0,54.0,40.0,1.0,3.0,0.0,50.0,176.0,687.0,89.0,557.0,119.0,346.0,53.0,104.0,244.0,380.0,98.0,301.0,112.0,15.0,1.0,3.0,77.0,59.0,"0,10",148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnsFunction.java,27.0,1.0,21.0,5.0,3.0,2.0,36.0,36.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,3.0,0.0,2.0,35.0,209.0,20.0,147.0,65.0,79.0,42.0,58.0,93.0,115.0,64.0,67.0,15.0,8.0,1.0,3.0,60.0,60.0,"0,29",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnsRequest.java,9.0,0.0,8.0,0.0,2.0,5.0,34.0,34.0,0.0,6.0,4.0,9.0,47.0,0.0,45.0,43.0,7.0,47.0,33.0,1.0,3.0,0.0,43.0,102.0,522.0,74.0,421.0,106.0,235.0,33.0,78.0,179.0,282.0,91.0,209.0,78.0,9.0,1.0,4.0,72.0,49.0,"0,08",104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortedTxnCleaner.java,14.0,1.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,44.0,165.0,17.0,105.0,47.0,60.0,43.0,54.0,62.0,75.0,41.0,45.0,17.0,8.0,0.0,3.0,0.0,0.0,"0,41",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortedTxnHandler.java,9.0,0.0,9.0,0.0,2.0,2.0,14.0,14.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,9.0,84.0,8.0,58.0,31.0,24.0,18.0,17.0,37.0,44.0,28.0,20.0,5.0,3.0,1.0,2.0,50.0,50.0,"0,31",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAddPartitionAnalyzer.java,19.0,2.0,16.0,2.0,4.0,1.0,26.0,26.0,2.0,1.0,0.0,0.0,4.0,0.0,7.0,7.0,0.0,7.0,128.0,1.0,2.0,4.0,0.0,26.0,135.0,17.0,94.0,48.0,45.0,27.0,39.0,60.0,72.0,43.0,36.0,13.0,8.0,4.0,3.0,0.0,0.0,"0,29",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterDataConnectorAnalyzer.java,4.0,0.0,4.0,0.0,1.0,1.0,8.0,8.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,113.0,0.0,0.0,1.0,1.0,7.0,42.0,4.0,18.0,12.0,4.0,20.0,8.0,12.0,15.0,12.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,11",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterDataConnectorDesc.java,4.0,0.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,43.0,7.0,16.0,11.0,3.0,20.0,1.0,9.0,12.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,"1,25",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterDataConnectorOperation.java,10.0,1.0,8.0,1.0,2.0,1.0,9.0,9.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,4.0,55.0,8.0,25.0,15.0,9.0,22.0,9.0,16.0,20.0,14.0,9.0,2.0,2.0,2.0,1.0,0.0,0.0,"0,88",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterDatabaseAnalyzer.java,4.0,0.0,4.0,0.0,1.0,1.0,8.0,8.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,113.0,0.0,0.0,1.0,1.0,8.0,42.0,4.0,18.0,12.0,4.0,20.0,8.0,12.0,15.0,12.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,11",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterDatabaseDesc.java,5.0,0.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,7.0,54.0,8.0,22.0,14.0,5.0,24.0,2.0,13.0,17.0,13.0,4.0,2.0,1.0,1.0,0.0,33.0,33.0,"1,09",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterDatabaseOperation.java,12.0,2.0,10.0,1.0,2.0,1.0,10.0,10.0,4.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,5.0,59.0,9.0,30.0,15.0,13.0,21.0,12.0,18.0,23.0,14.0,12.0,3.0,3.0,2.0,1.0,0.0,0.0,"0,70",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterResourcePlanStatusOperation.java,25.0,2.0,21.0,3.0,5.0,1.0,13.0,13.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,16.0,119.0,14.0,79.0,28.0,44.0,29.0,17.0,41.0,56.0,26.0,35.0,13.0,8.0,2.0,4.0,0.0,0.0,"0,37",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableAnalyzer.java,10.0,1.0,8.0,1.0,2.0,1.0,11.0,11.0,33.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,4.0,121.0,0.0,0.0,2.0,2.0,16.0,74.0,12.0,38.0,22.0,13.0,24.0,10.0,21.0,28.0,20.0,11.0,5.0,3.0,3.0,2.0,0.0,0.0,"0,63",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableArchiveAnalyzer.java,18.0,3.0,15.0,1.0,3.0,1.0,20.0,20.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,4.0,125.0,0.0,0.0,3.0,1.0,15.0,86.0,12.0,52.0,30.0,19.0,22.0,21.0,35.0,42.0,28.0,18.0,5.0,5.0,4.0,1.0,0.0,0.0,"0,42",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableDesc.java,4.0,0.0,4.0,0.0,1.0,3.0,11.0,11.0,26.0,1.0,0.0,1.0,12.0,0.0,12.0,12.0,8.0,12.0,12.0,0.0,0.0,0.0,12.0,64.0,110.0,18.0,72.0,42.0,19.0,20.0,13.0,38.0,50.0,32.0,18.0,11.0,1.0,1.0,0.0,82.0,82.0,"0,28",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableOperation.java,18.0,1.0,15.0,2.0,3.0,1.0,35.0,35.0,22.0,1.0,1.0,0.0,10.0,0.0,11.0,8.0,1.0,9.0,11.0,0.0,4.0,3.0,2.0,65.0,240.0,22.0,178.0,54.0,109.0,40.0,109.0,88.0,121.0,53.0,80.0,33.0,15.0,2.0,4.0,88.0,88.0,"0,22",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTablePropertiesAnalyzer.java,22.0,2.0,18.0,3.0,4.0,1.0,24.0,24.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,6.0,0.0,6.0,127.0,0.0,2.0,3.0,1.0,22.0,147.0,15.0,102.0,46.0,52.0,31.0,44.0,52.0,69.0,40.0,35.0,14.0,7.0,4.0,3.0,0.0,0.0,"0,30",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableRenameAnalyzer.java,10.0,1.0,9.0,1.0,2.0,1.0,14.0,14.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,124.0,0.0,0.0,2.0,1.0,5.0,66.0,7.0,39.0,28.0,11.0,21.0,23.0,28.0,32.0,26.0,10.0,3.0,3.0,4.0,1.0,0.0,0.0,"0,54",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableSetPropertiesAnalyzer.java,6.0,0.0,6.0,0.0,1.0,1.0,9.0,9.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,130.0,0.0,0.0,2.0,1.0,8.0,50.0,6.0,24.0,17.0,6.0,20.0,8.0,14.0,17.0,14.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,"0,83",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableUnsetPropertiesAnalyzer.java,11.0,1.0,10.0,1.0,3.0,1.0,12.0,12.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,130.0,0.0,0.0,2.0,1.0,8.0,61.0,7.0,33.0,20.0,11.0,21.0,13.0,18.0,25.0,19.0,10.0,4.0,4.0,5.0,3.0,0.0,0.0,"0,64",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractAlterTableWithConstraintsDesc.java,5.0,0.0,5.0,0.0,1.0,1.0,6.0,6.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,2.0,2.0,47.0,7.0,19.0,13.0,4.0,21.0,1.0,11.0,14.0,11.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,11",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractBaseAlterTableAnalyzer.java,19.0,1.0,16.0,2.0,5.0,1.0,22.0,22.0,2.0,1.0,0.0,0.0,6.0,0.0,6.0,6.0,1.0,6.0,117.0,0.0,1.0,3.0,2.0,92.0,168.0,17.0,117.0,37.0,65.0,34.0,37.0,50.0,77.0,35.0,49.0,29.0,12.0,2.0,3.0,67.0,67.0,"0,29",30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,2.0,42.0,42.0,2.0,1.0,2.0,0.0,11.0,0.0,12.0,10.0,1.0,12.0,12.0,0.0,4.0,3.0,5.0,45.0,519.0,52.0,399.0,155.0,239.0,69.0,122.0,197.0,287.0,139.0,208.0,74.0,27.0,1.0,6.0,73.0,73.0,"0,17",76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,1.0,29.0,29.0,30.0,5.0,0.0,3.0,42.0,0.0,42.0,42.0,19.0,42.0,34.0,0.0,4.0,13.0,25.0,373.0,429.0,61.0,337.0,119.0,159.0,31.0,90.0,151.0,239.0,118.0,140.0,65.0,10.0,1.0,4.0,93.0,92.0,"0,09",79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
